@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.982796,0,0.6,-0.982801
0,-0.983079,0,0.8,-0.983803
0,-0.98275,0,1,-0.981633
0,-0.983135,0.2,-1,-0.996575
0,-0.987574,0.2,-0.8,-0.999356
0,-0.987979,0.2,-0.6,-1.001079
0,-0.988204,0.2,-0.4,-0.994896
0,-0.985306,0.2,-0.2,-0.990919
0,-0.98451,0.2,0,-0.986087
0,-0.983156,0.2,0.2,-0.980847
0,-0.982265,0.2,0.4,-0.967667
0,-0.980208,0.2,0.6,-0.941939
0,-0.978347,0.2,0.8,-0.960376
0,-0.978741,0.2,1,-0.927814
0,-0.97558,0.4,-1,-1.046576
0,-0.995391,0.4,-0.8,-1.001519
0,-0.989536,0.4,-0.6,-1.001655
0,-0.990073,0.4,-0.4,-1.003623
0,-0.988749,0.4,-0.2,-0.995355
0,-0.985497,0.4,0,-0.986925
0,-0.983088,0.4,0.2,-0.951704
0,-0.979382,0.4,0.4,-0.956766
0,-0.978378,0.4,0.6,-0.89204
0,-0.97289,0.4,0.8,-0.752513
0,-0.965151,0.4,1,-0.788625
0,-0.965117,0.6,-1,-1.02135
0,-0.99413,0.6,-0.8,-1.030359
0,-0.99292,0.6,-0.6,-1.041617
0,-0.992418,0.6,-0.4,-0.999547
0,-0.987153,0.6,-0.2,-0.996351
0,-0.985671,0.6,0,-0.987152
0,-0.982928,0.6,0.2,-0.977248
0,-0.980921,0.6,0.4,-0.944803
0,-0.977572,0.6,0.6,-0.835472
0,-0.96995,0.6,0.8,-0.920867
0,-0.97323,0.6,1,-0.82222
0,-0.96498,0.8,-1,-1.058177
0,-0.996051,0.8,-0.8,-1.014228
0,-0.991689,0.8,-0.6,-1.003905
0,-0.990912,0.8,-0.4,-1.009224
0,-0.989575,0.8,-0.2,-0.997558
0,-0.985847,0.8,0,-0.987451
0,-0.983713,0.8,0.2,-0.954253
0,-0.979414,0.8,0.4,-0.959928
0,-0.978701,0.8,0.6,-0.91164
0,-0.973672,0.8,0.8,-0.728311
0,-0.964069,0.8,1,-0.896505
0,-0.970779,1,-1,-1.005249
0,-0.994841,1,-0.8,-1.088097
0,-0.994756,1,-0.6,-1.001917
0,-0.989518,1,-0.4,-0.999902
0,-0.988799,1,-0.2,-0.99965
0,-0.986971,1,0,-0.988233
0,-0.983012,1,0.2,-0.970692
0,-0.981875,1,0.4,-0.909106
0,-0.975462,1,0.6,-0.938665
0,-0.976125,1,0.8,-0.548192
0,-0.961015,1,1,-0.59445
0,-0.929728,-1,-1,-0.655554
0,-0.932803,-1,-0.8,-0.767264
0,-0.942361,-1,-0.6,-0.740704
0,-0.943443,-1,-0.4,-0.553312
0,-0.942431,-1,-0.2,-0.848982
0,-0.956427,-1,0,-0.955647
0,-0.964743,-1,0.2,-0.994447
0,-0.970679,-1,0.4,-1.043365
0,-0.97966,-1,0.6,-1.076129
0,-0.983254,-1,0.8,-1.297417
0,-0.990007,-1,1,-1.387306
0,-0.991236,-0.8,-1,0
0,-0.893934,-0.8,-0.8,0
0,-0.928206,-0.8,-0.6,-0.617189
0,-0.940426,-0.8,-0.4,-0.89534
0,-0.955605,-0.8,-0.2,-0.866284
0,-0.955805,-0.8,0,-0.955706
0,-0.963935,-0.8,0.2,-0.986098
0,-0.969312,-0.8,0.4,-0.997658
0,-0.97474,-0.8,0.6,-1.003138
0,-0.977751,-0.8,0.8,-1.271279
0,-0.99001,-0.8,1,-1.289452
0,-0.991596,-0.6,-1,-0.921582
0,-0.940817,-0.6,-0.8,-0.808657
0,-0.944479,-0.6,-0.6,-0.745767
0,-0.944598,-0.6,-0.4,-0.625998
0,-0.944686,-0.6,-0.2,-0.863365
0,-0.957098,-0.6,0,-0.956186
0,-0.964562,-0.6,0.2,-0.97745
0,-0.968673,-0.6,0.4,-1.017119
0,-0.977844,-0.6,0.6,-1.013193
0,-0.980386,-0.6,0.8,-1.015463
0,-0.981082,-0.6,1,-1.113065
0,-0.987872,-0.4,-1,-0.950182
0,-0.949887,-0.4,-0.8,-0.580106
0,-0.935096,-0.4,-0.6,-0.766881
0,-0.947399,-0.4,-0.4,-0.867004
0,-0.954954,-0.4,-0.2,-0.922046
0,-0.958658,-0.4,0,-0.958863
0,-0.964987,-0.4,0.2,-0.987468
0,-0.969816,-0.4,0.4,-0.996308
0,-0.973377,-0.4,0.6,-1.003543
0,-0.976536,-0.4,0.8,-1.165377
0,-0.986527,-0.4,1,-1.139262
0,-0.986641,-0.2,-1,-0.933049
0,-0.953585,-0.2,-0.8,-0.886596
0,-0.955596,-0.2,-0.6,-0.763983
0,-0.951057,-0.2,-0.4,-0.899239
0,-0.958433,-0.2,-0.2,-0.945547
0,-0.962056,-0.2,0,-0.961259
0,-0.964031,-0.2,0.2,-0.975955
0,-0.966814,-0.2,0.4,-0.974741
0,-0.967278,-0.2,0.6,-0.986636
0,-0.969003,-0.2,0.8,-0.996729
0,-0.973023,-0.2,1,-0.989477
0,-0.970739,0,-1,-0.969504
0,-0.964214,0,-0.8,-0.963137
0,-0.964054,0,-0.6,-0.964416
0,-0.964339,0,-0.4,-0.963993
0,-0.964393,0,-0.2,-0.964207
0,-0.965288,0,0,-0.96514
0,-0.964694,0,0.2,-0.964749
0,-0.964544,0,0.4,-0.965132
0,-0.964701,0,0.6,-0.96516
0,-0.964807,0,0.8,-0.964053
0,-0.964387,0,1,-0.962894
0,-0.964552,0.2,-1,-0.985707
0,-0.971361,0.2,-0.8,-0.994456
0,-0.971429,0.2,-0.6,-0.997396
0,-0.971785,0.2,-0.4,-0.981358
0,-0.967151,0.2,-0.2,-0.974946
0,-0.965679,0.2,0,-0.96624
0,-0.964429,0.2,0.2,-0.960361
0,-0.962913,0.2,0.4,-0.944361
0,-0.961318,0.2,0.6,-0.897036
0,-0.955593,0.2,0.8,-0.914722
0,-0.956807,0.2,1,-0.867849
0,-0.952645,0.4,-1,-1.012837
0,-0.983818,0.4,-0.8,-1.009687
0,-0.979001,0.4,-0.6,-1.014524
0,-0.978492,0.4,-0.4,-0.991838
0,-0.969876,0.4,-0.2,-0.985331
0,-0.968326,0.4,0,-0.969998
0,-0.964212,0.4,0.2,-0.956116
0,-0.962008,0.4,0.4,-0.912146
0,-0.95548,0.4,0.6,-0.805458
0,-0.946987,0.4,0.8,-0.893135
0,-0.951838,0.4,1,-0.785346
0,-0.940526,0.6,-1,-1.045455
0,-0.986817,0.6,-0.8,-0.999853
0,-0.975709,0.6,-0.6,-1.000223
0,-0.975983,0.6,-0.4,-1.001507
0,-0.974289,0.6,-0.2,-0.984507
0,-0.967911,0.6,0,-0.969469
0,-0.964575,0.6,0.2,-0.925131
0,-0.958952,0.6,0.4,-0.929217
0,-0.95746,0.6,0.6,-0.869055
0,-0.94992,0.6,0.8,-0.323835
0,-0.930323,0.6,1,-0.186754
0,-0.923927,0.8,-1,-1.111845
0,-0.987815,0.8,-0.8,-1.151694
0,-0.984754,0.8,-0.6,-1.057233
0,-0.981146,0.8,-0.4,-1.082086
0,-0.978668,0.8,-0.2,-1.00019
0,-0.970456,0.8,0,-0.972254
0,-0.964546,0.8,0.2,-0.898313
0,-0.958402,0.8,0.4,-0.674564
0,-0.945908,0.8,0.6,-0.595017
0,-0.939145,0.8,0.8,-0.459398
0,-0.930917,0.8,1,-0.380286
0,-0.928263,1,-1,-1.578853
0,-0.992279,1,-0.8,-1.356957
0,-0.987051,1,-0.6,-1.127213
0,-0.983097,1,-0.4,-1.020337
0,-0.976318,1,-0.2,-1.00179
0,-0.971425,1,0,-0.97355
0,-0.964951,1,0.2,-0.906311
0,-0.957699,1,0.4,-0.819311
0,-0.95126,1,0.6,-0.712165
0,-0.942987,1,0.8,-0.712781
0,-0.939199,1,1,-0.667547
0,-0.900013,-1,-1,-0.595739
0,-0.89938,-1,-0.8,-0.53515
0,-0.899709,-1,-0.6,-0.594136
0,-0.908336,-1,-0.4,-0.799899
0,-0.922456,-1,-0.2,-0.873583
